"date","hour","total_trips"
2024-02-27,2,30
2024-02-27,3,24
2024-02-27,4,25
2024-02-27,5,103
2024-02-27,6,244
2024-02-27,7,609
2024-02-27,8,1421
2024-02-27,9,739
2024-02-27,10,468
2024-02-27,11,422
2024-02-27,12,375
2024-02-27,13,140
2024-02-27,14,137
2024-02-27,15,192
2024-02-27,16,346
2024-02-27,17,816
2024-02-27,18,784
2024-02-27,19,586
2024-02-27,20,519
2024-02-27,21,422
2024-02-27,22,298
2024-02-27,23,191
2024-02-28,0,106
2024-02-28,1,61
2024-02-28,2,38
2024-02-28,3,12
2024-02-28,4,7
2024-02-28,5,57
2024-02-28,6,192
2024-02-28,7,491
2024-02-28,8,1130
2024-02-28,9,724
2024-02-28,10,446
2024-02-28,11,485
2024-02-28,12,559
2024-02-28,13,443
2024-02-28,14,434
2024-02-28,15,462
2024-02-28,16,647
2024-02-28,17,940
2024-02-28,18,666
2024-02-28,19,437
2024-02-28,20,302
2024-02-28,21,279
2024-02-28,22,206
2024-02-28,23,99
2024-02-29,0,59
2024-02-29,1,31
2024-02-29,2,22
2024-02-29,3,13
2024-02-29,4,19
2024-02-29,5,67
2024-02-29,6,185
2024-02-29,7,403
2024-02-29,8,944
2024-02-29,9,546
2024-02-29,10,274
2024-02-29,11,326
2024-02-29,12,397
2024-02-29,13,411
2024-02-29,14,412
2024-02-29,15,440
2024-02-29,16,663
2024-02-29,17,1014
2024-02-29,18,849
2024-02-29,19,571
2024-02-29,20,391
2024-02-29,21,360
2024-02-29,22,256
2024-02-29,23,166
2024-03-01,0,90
2024-03-01,1,55
2024-03-01,2,32
2024-03-01,3,20
2024-03-01,4,24
2024-03-01,5,72
2024-03-01,6,180
2024-03-01,7,407
2024-03-01,8,859
2024-03-01,9,595
2024-03-01,10,449
2024-03-01,11,494
2024-03-01,12,671
2024-03-01,13,682
2024-03-01,14,695
2024-03-01,15,828
2024-03-01,16,1024
2024-03-01,17,1320
2024-03-01,18,968
2024-03-01,19,732
2024-03-01,20,478
2024-03-01,21,363
2024-03-01,22,318
2024-03-01,23,243
2024-03-02,0,202
2024-03-02,1,142
2024-03-02,2,98
2024-03-02,3,59
2024-03-02,4,27
2024-03-02,5,30
2024-03-02,6,65
2024-03-02,7,144
2024-03-02,8,235
2024-03-02,9,423
2024-03-02,10,370
2024-03-02,11,454
2024-03-02,12,599
2024-03-02,13,639
2024-03-02,14,708
2024-03-02,15,720
2024-03-02,16,730
2024-03-02,17,680
2024-03-02,18,680
2024-03-02,19,551
2024-03-02,20,418
2024-03-02,21,347
2024-03-02,22,285
2024-03-02,23,208
2024-03-03,0,170
2024-03-03,1,161
2024-03-03,2,103
2024-03-03,3,60
2024-03-03,4,36
2024-03-03,5,36
2024-03-03,6,69
2024-03-03,7,133
2024-03-03,8,208
2024-03-03,9,339
2024-03-03,10,450
2024-03-03,11,564
2024-03-03,12,691
2024-03-03,13,726
2024-03-03,14,689
2024-03-03,15,711
2024-03-03,16,685
2024-03-03,17,687
2024-03-03,18,590
2024-03-03,19,435
2024-03-03,20,319
2024-03-03,21,320
2024-03-03,22,234
2024-03-03,23,144
2024-03-04,0,73
2024-03-04,1,61
2024-03-04,2,23
2024-03-04,3,16
2024-03-04,4,32
2024-03-04,5,93
2024-03-04,6,231
2024-03-04,7,535
2024-03-04,8,1102
2024-03-04,9,661
2024-03-04,10,381
2024-03-04,11,467
2024-03-04,12,623
2024-03-04,13,620
2024-03-04,14,672
2024-03-04,15,831
2024-03-04,16,1160
2024-03-04,17,1665
2024-03-04,18,1191
2024-03-04,19,828
2024-03-04,20,560
2024-03-04,21,477
2024-03-04,22,339
2024-03-04,23,185
2024-03-05,0,117
2024-03-05,1,66
2024-03-05,2,39
2024-03-05,3,17
2024-03-05,4,27
2024-03-05,5,95
2024-03-05,6,290
2024-03-05,7,716
2024-03-05,8,1505
2024-03-05,9,808
2024-03-05,10,513
2024-03-05,11,506
2024-03-05,12,643
2024-03-05,13,652
2024-03-05,14,601
2024-03-05,15,761
2024-03-05,16,1120
2024-03-05,17,882
2024-03-05,18,809
2024-03-05,19,619
2024-03-05,20,478
2024-03-05,21,363
2024-03-05,22,246
2024-03-05,23,174
2024-03-06,0,81
2024-03-06,1,55
2024-03-06,2,32
2024-03-06,3,20
2024-03-06,4,21
2024-03-06,5,102
2024-03-06,6,291
2024-03-06,7,572
2024-03-06,8,1008
2024-03-06,9,680
2024-03-06,10,362
2024-03-06,11,473
2024-03-06,12,541
2024-03-06,13,528
2024-03-06,14,536
2024-03-06,15,690
2024-03-06,16,957
2024-03-06,17,1570
2024-03-06,18,1170
2024-03-06,19,727
2024-03-06,20,521
2024-03-06,21,392
2024-03-06,22,305
2024-03-06,23,229
2024-03-07,0,102
2024-03-07,1,54
2024-03-07,2,42
2024-03-07,3,19
2024-03-07,4,23
2024-03-07,5,99
